@relation allvids*allfeats
@attribute letterfcount NUMERIC
@attribute digitfcount NUMERIC
@attribute spcharfcount NUMERIC
@attribute scenecount NUMERIC
@attribute openinglen NUMERIC
@attribute endinglen NUMERIC
@attribute stimgcount NUMERIC
@attribute isCG NUMERIC
@attribute moneyfcount NUMERIC
@attribute framewidth NUMERIC
@attribute frameheigth NUMERIC
@attribute framepersec NUMERIC
@attribute duration NUMERIC
@attribute framecount NUMERIC
@attribute blackcount NUMERIC
@attribute whitecount NUMERIC
@attribute grayscount NUMERIC
@attribute facecount NUMERIC
@attribute faceavelocx NUMERIC
@attribute faceavelocy NUMERIC
@attribute facesumarea NUMERIC
@data
5,1,1,2,1,1,2,2,0,640.0,360.0,30.0,177.0,5310.0,6,2,51,63,358,137,473314
5,0,0,1,1,1,0,1,0,640.0,360.0,30.0,87.0,2610.0,3,0,5,0,-1,-1,0
3,0,0,3,1,2,5,2,0,640.0,360.0,20.0,297.0,5940.0,9,0,131,150,234,178,1450707
0,0,0,1,1,1,0,1,0,640.0,480.0,30.0,115.0,3450.0,3,0,86,0,-1,-1,0
9,4,0,1,1,0,7,0,0,640.0,480.0,30.0,97.0,2910.0,1,0,45,14,211,229,30931
2,0,1,2,1,1,0,2,0,640.0,396.0,30.0,46.0,1380.0,3,0,16,4,230,98,59230
0,0,0,1,1,0,0,1,0,640.0,360.0,30.0,68.0,2040.0,2,0,3,0,-1,-1,0
1,1,0,1,0,0,0,0,0,640.0,480.0,30.0,38.0,1140.0,1,0,31,1,366,397,4489
18,3,1,12,2,4,0,2,0,640.0,360.0,20.0,293.0,5860.0,3,0,139,186,309,117,3192872
10,0,7,2,1,0,7,0,0,560.0,420.0,30.0,169.0,5070.0,8,0,45,25,251,178,479543
7,2,1,1,1,0,5,1,0,560.0,314.0,30.0,189.0,5670.0,1,0,33,4,219,97,30214
5,2,2,4,1,1,1,2,0,640.0,360.0,30.0,159.0,4770.0,8,0,43,70,329,127,1848885
4,0,1,1,1,0,0,1,0,640.0,466.0,10.0,38.0,380.0,3,0,7,0,-1,-1,0
4,0,0,1,1,0,0,0,0,640.0,480.0,30.0,44.0,1320.0,1,0,33,0,-1,-1,0
0,0,0,1,2,0,0,0,0,560.0,410.0,30.0,124.0,3720.0,3,0,5,108,285,96,676345
1,0,0,2,1,1,0,0,0,640.0,426.0,30.0,77.0,2310.0,3,0,46,45,318,184,325058
1,0,0,2,2,1,0,2,0,560.0,420.0,30.0,245.0,7350.0,4,0,89,65,277,238,1111669
6,0,1,2,0,5,3,0,0,560.0,314.0,20.0,318.0,6360.0,0,0,184,20,178,199,102188
29,27,0,1,1,0,3,0,0,640.0,360.0,30.0,406.0,12180.0,1,0,97,3,197,180,6877
5,1,1,2,1,1,3,2,0,640.0,480.0,30.0,93.0,2790.0,4,0,29,0,-1,-1,0
0,0,0,2,1,0,0,2,0,560.0,410.0,30.0,150.0,4500.0,0,1,66,77,200,171,2099502
3,0,1,3,1,0,0,0,0,640.0,360.0,30.0,86.0,2580.0,4,0,30,41,387,125,118218
2,2,0,1,1,0,0,0,0,640.0,360.0,30.0,34.0,1020.0,2,0,16,0,-1,-1,0
0,0,1,1,0,0,0,1,0,640.0,480.0,40.0,63.0,2520.0,1,0,54,0,-1,-1,0
0,0,0,1,1,0,0,1,0,560.0,314.0,30.0,82.0,2460.0,1,1,27,4,297,132,55714
0,0,0,2,0,0,0,2,0,560.0,420.0,30.0,142.0,4260.0,0,0,9,48,385,118,648942
4,2,0,1,0,0,0,1,0,560.0,420.0,30.0,55.0,1650.0,0,0,12,1,376,173,5476
1,0,0,1,1,1,0,0,0,640.0,360.0,30.0,232.0,6960.0,2,0,26,89,328,136,1292506
1,0,0,2,1,0,0,0,0,560.0,420.0,30.0,267.0,8010.0,0,0,2,218,267,168,5978463
16,8,3,1,1,4,0,0,0,560.0,314.0,20.0,233.0,4660.0,0,0,0,5,387,84,13635
5,0,0,4,1,0,3,2,0,640.0,360.0,20.0,233.0,4660.0,2,0,98,81,333,115,1125698
10,5,3,3,2,1,2,0,0,560.0,420.0,30.0,278.0,8340.0,6,1,115,81,279,174,721501
1,0,1,1,2,0,0,0,0,640.0,480.0,20.0,94.0,1880.0,1,0,10,88,322,181,3360376
4,0,0,1,0,3,0,1,0,560.0,314.0,30.0,66.0,1980.0,10,0,57,0,-1,-1,0
2,0,0,1,1,1,2,0,0,640.0,360.0,30.0,69.0,2070.0,0,0,1,0,-1,-1,0
8,6,2,4,1,1,2,0,0,640.0,480.0,30.0,147.0,4410.0,2,0,43,49,339,179,3187985
3,0,0,3,1,1,1,2,0,640.0,360.0,30.0,241.0,7230.0,3,0,38,120,324,198,1304401
7,0,0,3,1,1,5,0,0,640.0,480.0,30.0,139.0,4170.0,1,0,75,58,322,171,2156895
